subjid,sceneid,sceneorder,desc,cleaned,pattern,pattern (normalised order)
5,2,14,small red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
5,3,24,small green ball,small green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
5,4,26,small red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
5,5,12,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
5,6,28,small blue ball,small blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
5,7,10,small yellow ball,small yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
5,8,18,blue ball,blue ball,tg_col tg_type,tg_col tg_type
5,9,32,large yellow ball,large yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
5,10,8,large blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
5,11,22,large yellow ball,large yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
5,12,16,large blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
5,13,20,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
5,14,6,red ball,red ball,tg_col tg_type,tg_col tg_type
5,15,30,green ball,green ball,tg_col tg_type,tg_col tg_type
5,16,4,large red ball,large red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
6,17,8,big yellow ball next to the large red cube,large yellow ball next-to large red cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type
6,18,20,large blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
6,19,12,big yellow ball on top of the red cube,large yellow ball on-top-of red cube,tg_size tg_col tg_type rel lm_col lm_type,tg_size tg_col tg_type rel lm_col lm_type
6,20,24,large blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
6,21,10,green ball bext to th blue cube,green ball next-to blue cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type
6,22,16,large red ball,large red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
6,23,26,large green ball,large green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
6,24,30,large red ball,large red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
6,25,18,small green ball,small green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
6,26,2,small red ball next to the red cube,small red ball next-to red cube,tg_size tg_col tg_type rel lm_col lm_type,tg_size tg_col tg_type rel lm_col lm_type
6,27,14,smaller green ball on top of the small blue cube,small green ball on-top-of small blue cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type
6,28,32,small red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
6,29,22,small yellow ball,small yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
6,30,6,blue ball next to the small blue cube,blue ball next-to small blue cube,tg_col tg_type rel lm_size lm_col lm_type,tg_col tg_type rel lm_size lm_col lm_type
6,31,28,small yellow ball on top of the small red cube,small yellow ball on-top-of small red cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type
6,32,4,blue ball on top of the blue cube,blue ball on-top-of blue cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type
7,1,24,green ball,green ball,tg_col tg_type,tg_col tg_type
7,2,32,small red ball next to big red box,small red ball next-to large red cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type
7,3,16,green ball,green ball,tg_col tg_type,tg_col tg_type
7,4,10,small red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
7,5,20,yeloow ball,yellow ball,tg_col tg_type,tg_col tg_type
7,6,28,blue ball,blue ball,tg_col tg_type,tg_col tg_type
7,7,22,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
7,8,30,blue ball,blue ball,tg_col tg_type,tg_col tg_type
7,9,26,big yellow ball,large yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
7,10,2,blue ball next to blue box,blue ball next-to blue cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type
7,11,4,yellow ball on top of red box,yellow ball on-top-of red cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type
7,12,12,big blue ball on top of blue box,large blue ball on-top-of blue cube,tg_size tg_col tg_type rel lm_col lm_type,tg_size tg_col tg_type rel lm_col lm_type
7,13,8,greeb ball,green ball,tg_col tg_type,tg_col tg_type
7,14,18,red ball,red ball,tg_col tg_type,tg_col tg_type
7,15,6,green ball,green ball,tg_col tg_type,tg_col tg_type
7,16,14,red ball,red ball,tg_col tg_type,tg_col tg_type
8,17,18,large yellow cube,large yellow cube,tg_size tg_col tg_type,tg_size tg_col tg_type
8,18,10,large blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
8,19,24,large yellow ball,large yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
8,20,28,large blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
8,21,8,large green cube,large green cube,tg_size tg_col tg_type,tg_size tg_col tg_type
8,22,30,large red ball,large red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
8,23,2,large green ball,large green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
8,24,14,large red ball,large red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
8,25,22,green ball on floor,green bottom ball,tg_col tg_loc tg_type,tg_col tg_loc tg_type
8,26,32,small red ball leaning on red box,small red ball next-to red cube,tg_size tg_col tg_type rel lm_col lm_type,tg_size tg_col tg_type rel lm_col lm_type
8,27,4,green ball sitting on blue cube,green ball on-top-of blue cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type
8,28,12,red ball sitting on cube,red ball on-top-of cube,tg_col tg_type rel lm_type,tg_col tg_type rel lm_type
8,29,16,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
8,30,26,blue ball,blue ball,tg_col tg_type,tg_col tg_type
8,31,6,yellow ball sitting on red cube,yellow ball on-top-of red cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type
8,32,20,blue ball ,blue ball ,tg_col tg_type ,tg_col tg_type 
9,1,18,little green ball,small green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
9,2,24,litte red ball next to the red box,small red ball next-to red cube,tg_size tg_col tg_type rel lm_col lm_type,tg_size tg_col tg_type rel lm_col lm_type
9,3,12,little green ball,small green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
9,4,14,little red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
9,5,22,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
9,6,10,little  blue ball,small blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
9,7,8,ball from on top of the box,ball on-top-of cube,tg_type rel lm_type,tg_type rel lm_type
9,8,32,blue ball,blue ball,tg_col tg_type,tg_col tg_type
9,9,6,large yellow sphere,large yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
9,10,20,large blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
9,11,2,large yellow sphere on top of the little red cube,large yellow ball on-top-of small red cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type
9,12,28,large blue ball sitting up on the box,large blue ball on-top-of cube,tg_size tg_col tg_type rel lm_type,tg_size tg_col tg_type rel lm_type
9,13,4,large green sphere,large green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
9,14,16,large red ball,large red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
9,15,30,large green ball,large green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
9,16,26,red  ball,red ball,tg_col tg_type,tg_col tg_type
10,17,28,large yellow ball,large yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
10,18,22,large blue sphere,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
10,19,20,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
10,20,32,large blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
10,21,12,large green ball,large green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
10,22,6,large red ball,large red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
10,23,24,large green sphere,large green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
10,24,2,large red ball,large red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
10,25,10,small green ball,small green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
10,26,14,small red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
10,27,16,small green ball,small green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
10,28,4,small red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
10,29,26,small yellow ball,small yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
10,30,30,small blue ball,small blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
10,31,18,small yellow ball,small yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
10,32,8,small blue ball,small blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
11,1,6,small green square directly next to the large blue square,small green cube next-to large blue cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type
11,2,4,small red sphere directly next to the large red square,small red ball next-to large red cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type
11,3,18,green sphere,green ball,tg_col tg_type,tg_col tg_type
11,4,16,small red sphere,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
11,5,8,small yellow ball,small yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
11,6,26,blue sphere,blue ball,tg_col tg_type,tg_col tg_type
11,7,20,yellow sphere,yellow ball,tg_col tg_type,tg_col tg_type
11,8,30,blue sphere,blue ball,tg_col tg_type,tg_col tg_type
11,9,28,large yellow sphere directly next to the small red cube,large yellow ball next-to small red cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type
11,10,32,large large blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
11,11,24,large yellow sphere on top of the small red cube,large yellow ball on-top-of small red cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type
11,12,2,Large blue ball on top of the small blue square,large blue ball on-top-of small blue cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type
11,13,10,the large green sphere,large green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
11,14,12,The large red sphere,large red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
11,15,14,The green ball,green ball,tg_col tg_type,tg_col tg_type
11,16,22,large red sphere,large red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
12,17,24,big yellow ball,large yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
12,18,18,big blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
12,19,16,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
12,20,6,big blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
12,21,32,green ball,green ball,tg_col tg_type,tg_col tg_type
12,22,2,biggest ball,large ball,tg_size tg_type,tg_size tg_type
12,23,26,big green ball,large green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
12,24,20,red ball,red ball,tg_col tg_type,tg_col tg_type
12,25,14,green ball next to the blue box,green ball next-to blue cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type
12,26,28,little red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
12,27,22,small green ball,small green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
12,28,4,small red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
12,29,8,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
12,30,12,blue ball,blue ball,tg_col tg_type,tg_col tg_type
12,31,30,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
12,32,10,blue ball,blue ball,tg_col tg_type,tg_col tg_type
14,17,32,the large yellow ball next to the large red cube,large yellow ball next-to large red cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type
14,18,6,large blue sphere touching a large blue cube,large blue ball next-to large blue cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type
14,19,22,the large yellow cube atop the large red cube,large yellow cube on-top-of large red cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type
14,20,2,Largest blue ball ontop of the large blue cube foreground,large blue ball on-top-of large blue front cube,tg_size tg_col tg_type rel lm_size lm_col lm_loc lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_loc lm_type
14,21,24,the larger green ball touching the large blue cube,large green ball next-to large blue cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type
14,22,8,the lareg red ball next to the large red cube,large red ball next-to large red cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type
14,23,10,the large green ball atop the large blue cube,large green ball on-top-of large blue cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type
14,24,12,the large red ball atop the large red cube,large red ball on-top-of large red cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type
14,25,28,the small green ball touching the small blue cube closest to the large blue cube,small green ball next-to small blue cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type
14,26,18,the small red ball touching the small red box,small red ball next-to small red cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type
14,27,20,the small green ball atop the small blue cube,small green ball on-top-of small blue cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type
14,28,26,the small red sphere ontop of the small red cube,small red ball on-top-of small red cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type
14,29,30,the small yellow ball next to the the small red cube,small yellow ball next-to small red cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type
14,30,14,the small blue ball touching the small blue cube,small blue ball next-to small blue cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type
14,31,16,the small yellow ball atop the small red cube,small yellow ball on-top-of small red cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type
14,32,4,small blue ball ontop of a small blue cube,small blue ball on-top-of small blue cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type
15,1,16,green ball,green ball,tg_col tg_type,tg_col tg_type
15,2,10,small red ball on the floor,small red bottom ball,tg_size tg_col tg_loc tg_type,tg_size tg_col tg_loc tg_type
15,3,20,green ball,green ball,tg_col tg_type,tg_col tg_type
15,4,4,small red ball on the cube,small red ball on-top-of cube,tg_size tg_col tg_type rel lm_type,tg_size tg_col tg_type rel lm_type
15,5,30,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
15,6,8,blue ball,blue ball,tg_col tg_type,tg_col tg_type
15,7,32,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
15,8,6,blue ball,blue ball,tg_col tg_type,tg_col tg_type
15,9,2,large yellow ball on the left,large yellow left-hand ball ,tg_size tg_col tg_loc tg_type ,tg_size tg_col tg_loc tg_type 
15,10,22,rightmost blue ball,right-hand blue ball,tg_loc tg_col tg_type,tg_col tg_loc tg_type
15,11,12,large yellow ball,large yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
15,12,26,leftmost blue ball,left-hand blue ball,tg_loc tg_col tg_type,tg_col tg_loc tg_type
15,13,18,green ball,green ball,tg_col tg_type,tg_col tg_type
15,14,28,red ball,red ball,tg_col tg_type,tg_col tg_type
15,15,14,green ball,green ball,tg_col tg_type,tg_col tg_type
15,16,24,red ball,red ball,tg_col tg_type,tg_col tg_type
16,17,30,large sphere,large ball,tg_size tg_type,tg_size tg_type
16,18,28,large blue sphere,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
16,19,12,large sphere,large ball,tg_size tg_type,tg_size tg_type
16,20,2,big blue sphere,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
16,21,10,green sphere,green ball,tg_col tg_type,tg_col tg_type
16,22,26,red sphere,red ball,tg_col tg_type,tg_col tg_type
16,23,6,large green sphere,large green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
16,24,16,red sphere,red ball,tg_col tg_type,tg_col tg_type
16,25,32,small green sphere,small green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
16,26,22,small red sphere,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
16,27,18,small green sphere,small green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
16,28,24,small red sphere,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
16,29,8,yellow sphere,yellow ball,tg_col tg_type,tg_col tg_type
16,30,14,small blue sphere,small blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
16,31,4,small yellow sphere,small yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
16,32,20,blue sphere,blue ball,tg_col tg_type,tg_col tg_type
17,1,6,the green ball,green ball,tg_col tg_type,tg_col tg_type
17,2,20,red ball next to the red cube,red ball next-to red cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type
17,3,14,green ball,green ball,tg_col tg_type,tg_col tg_type
17,4,24,red ball on top of the red cube,red ball on-top-of red cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type
17,5,16,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
17,6,22,blue ball,blue ball,tg_col tg_type,tg_col tg_type
17,7,2,the yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
17,8,10,blue ball,blue ball,tg_col tg_type,tg_col tg_type
17,9,8,big yellow ball,large yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
17,10,4,the big blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
17,11,12,large yellow ball on top of the cube,large yellow ball on-top-of cube,tg_size tg_col tg_type rel lm_type,tg_size tg_col tg_type rel lm_type
17,12,32,large blue ball on the blue cube,large blue ball on-top-of blue cube,tg_size tg_col tg_type rel lm_col lm_type,tg_size tg_col tg_type rel lm_col lm_type
17,13,26,green ball,green ball,tg_col tg_type,tg_col tg_type
17,14,28,red ball,red ball,tg_col tg_type,tg_col tg_type
17,15,30,green ball,green ball,tg_col tg_type,tg_col tg_type
17,16,18,red ball,red ball,tg_col tg_type,tg_col tg_type
18,17,26,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
18,18,18,big blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
18,19,10,big yellow ball,large yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
18,20,2,big blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
18,21,28,green ball,green ball,tg_col tg_type,tg_col tg_type
18,22,32,red ball,red ball,tg_col tg_type,tg_col tg_type
18,23,20,green ball,green ball,tg_col tg_type,tg_col tg_type
18,24,14,red ball,red ball,tg_col tg_type,tg_col tg_type
18,25,30,small green ball,small green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
18,26,22,small red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
18,27,16,small green ball,small green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
18,28,6,small red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
18,29,4,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
18,30,8,blue ball,blue ball,tg_col tg_type,tg_col tg_type
18,31,12,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
18,32,24,blue ball,blue ball,tg_col tg_type,tg_col tg_type
21,1,28,small green ball,small green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
21,2,8,small red ball which is touching the large red box.,small red ball next-to large red cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type
21,3,32,small green ball,small green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
21,4,10,small red ball ,small red ball ,tg_size tg_col tg_type ,tg_size tg_col tg_type 
21,5,26,small yellow ball,small yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
21,6,4,small blue ball,small blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
21,7,2,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
21,8,14,small blue ball,small blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
21,9,16,large yellow ball,large yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
21,10,18,large blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
21,11,6,large yellow ball,large yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
