subjid,gender,age,field,English,tech problems,easier,colour-vision,time,comment
39,male,26-30,mathematics or engineering or computing,other,noprobs,easier-no,not-col-blind,under10, I made the assumption from the beginning that I was talking to someone who was NOT colour blind.
41,male,40-50,languages,american,noprobs,easier-yes,not-col-blind,under10, 
44,male,30-40,human or social sciences,australian,noprobs,easier-no,not-col-blind,under10," I found it interesting that I felt compelled to add non-essential information in some instances but not others. I kept picturing the person asking ""Do you mean this one?"" even though the descriptions I gave were sufficient in all instances.Also I liked being a guinea pig. That is an issue that I know I have to deal with and my counsellor and I will be working on it."
45,female,30-40,arts,australian,noprobs,easier-yes,not-col-blind,under10, i developed a pattern and repeated the pattern.  I did however head into the experiment without much consideration and during did realise that I wasn't answering the questions as a sentence 'pass me the...etc'.  It did also occur to me that I wasn't considering 'colour blindness' A good friend does not see objects that are red I would have had to write different answers if it was for him
46,female,40-50,human or social sciences,australian,techprobs,easier-yes,not-col-blind,under10,question 31 displayed nothingIt was more of the same...
47,male,30-40,physical or natural sciences,australian,noprobs,easier-no,not-col-blind,under10, 
48,female,over60,no college or university education,australian,noprobs,easier-no,not-col-blind,10-15, I wondered what you are looking for.
49,female,over60,no college or university education,australian,noprobs,easier-no,not-col-blind,under10, 
50,female,30-40,physical or natural sciences,australian,noprobs,easier-no,not-col-blind,under10, 
51,male,26-30,physical or natural sciences,british,techprobs,easier-yes,not-col-blind,under10,Several server errors - I kept having to refresh the page.The last few scenes were easy to describe in 3 words or less - no spatial relationships.
52,female,26-30,mathematics or engineering or computing,british,noprobs,easier-yes,not-col-blind,10-15, 
53,female,26-30,human or social sciences,american,,,,under10, 
54,male,30-40,human or social sciences,australian,noprobs,easier-no,not-col-blind,under10, felt very basic - interested in the outcomes
55,male,over60,physical or natural sciences,australian,noprobs,easier-no,not-col-blind,under10, It seemed quite repetitive. Purpose unknown. It seemed very easy
56,male,40-50,languages,american,noprobs,easier-no,not-col-blind,under10, 
57,male,40-50,physical or natural sciences,australian,noprobs,easier-no,not-col-blind,under10, I assumed that the different sizes of balls and cubes were real not just badly drawn perspective. If the different sizes was meant to represent depth in the pictures then my descriptions would have had to be more detailed.
58,female,30-40,physical or natural sciences,australian,noprobs,easier-yes,not-col-blind,under10, It seemed like the indicated items became more distinctive eg only one red ball rather two
59,female,30-40,mathematics or engineering or computing,american,noprobs,easier-yes,not-col-blind,under10, 
60,female,40-50,physical or natural sciences,australian,noprobs,easier-maybe,not-col-blind,10-15,It was interesting in seeing how many different ways you can describe how and what to pass.
61,female,40-50,physical or natural sciences,australian,noprobs,easier-no,not-col-blind,under10,My descriptions won't work for colour blind people or if you are looking from a different perspective.  Happy to re-do if the descriptions need to be for someone entering the room from a different angle.
62,male,20-25,human or social sciences,australian,noprobs,easier-no,not-col-blind,10-15, 
63,male,26-30,mathematics or engineering or computing,american,noprobs,easier-yes,not-col-blind,under10, I could expect what words I would need to use as I completed more experiments. I could expect what words I would need to use as I completed more experiments.
64,male,40-50,mathematics or engineering or computing,australian,noprobs,easier-no,not-col-blind,under10,"i think the ""type of english"" option should allow more than one choice.  i was born in america but have been in australia for nearly 20 years so i selected ""australian"""
65,female,20-25,mathematics or engineering or computing,australian,noprobs,easier-maybe,not-col-blind,under10, 
66,male,26-30,mathematics or engineering or computing,australian,noprobs,easier-maybe,not-col-blind,under10, 
67,female,20-25,mathematics or engineering or computing,american,noprobs,easier-yes,not-col-blind,under10,The task got easier because the arrow in the later scenes points to some objects that has uniq characters among other objects.
68,female,20-25,mathematics or engineering or computing,american,noprobs,easier-yes,not-col-blind,10-15, 
69,male,30-40,physical or natural sciences,australian,techprobs,easier-yes,not-col-blind,10-15,Connection timed out twice during the test ~ #16 and #30Got easier to do the test as it became obvious that the objects are distinctly coloured and sized. Didn't need to define the position only their appearance was enough. 
71,male,26-30,mathematics or engineering or computing,australian,noprobs,easier-no,not-col-blind,under10, 
72,female,26-30,arts,british,noprobs,easier-no,not-col-blind,under10, 
73,female,20-25,arts,australian,noprobs,easier-no,not-col-blind,under10, Most of the time it was very easy ad quick to explain which one to get as there was only one of the exact same object in each picture.  Only when there were two small blue balls for example did it become more complicated to explain which one to pass. 
74,male,26-30,mathematics or engineering or computing,american,,easier-yes,not-col-blind,21-30,I got a little bored and impatient towards the end (but that's partly due to slow load times on each image -- hah! watch that be deliberately part of the experiment).  Also I did get into a groove where I just kept saying things the same way over and over again
75,female,50-60,arts,australian,noprobs,easier-no,not-col-blind,10-15, 
76,male,30-40,mathematics or engineering or computing,australian,techprobs,easier-yes,not-col-blind,10-15,One of the pages was unable to load. Clicking refresh allowed me to continue (I'm using Google Chrome browser).Appeared easier since there seemed to be be more single colour / single objects to describe.
77,male,26-30,mathematics or engineering or computing,american,noprobs,easier-yes,not-col-blind,10-15,It got easier to describe the balls as time went on.  I suspect I decided on a particular set of vocabulary (colors small/large ball/cube on top of/left/right/center) to use as time went on.
78,female,50-60,no college or university education,australian,noprobs,easier-no,not-col-blind,under10, 
80,female,20-25,mathematics or engineering or computing,australian,noprobs,easier-yes,not-col-blind,under10, 
81,male,30-40,mathematics or engineering or computing,australian,noprobs,easier-no,not-col-blind,under10, 
83,male,30-40,physical or natural sciences,australian,noprobs,easier-maybe,not-col-blind,under10, 
84,male,20-25,cognitive science,australian,techprobs,easier-no,not-col-blind,16-20,"My preferred browser does not show images by default; I had to enable them.I probably would have used a 2D layout rather than a 3D one because in some cases it was hard to tell which objects were ""closest"" to the speaker.  But then I don't know what your hypothesis is.Say hi to Eric Kow for me!"
85,male,over60,no college or university education,australian,noprobs,easier-maybe,colour-blind,16-20, 
86,male,20-25,mathematics or engineering or computing,australian,noprobs,easier-yes,not-col-blind,10-15,It did get easier of time since there was a lot of repetition in the scenes. Often it was simply a matter of changing the colour or size of a previous answer while the basic structure of the description stayed the same.
88,female,30-40,mathematics or engineering or computing,australian,noprobs,easier-yes,not-col-blind,under10, It became easier when i realised I did not need to give such detailed instructions EG wasn't necessary to say 'third from the left' as oftern the 'large red cube' was sufficient to identify the object. i.e. it was less complex than I first imagined
89,female,26-30,languages,american,noprobs,easier-yes,not-col-blind,under10," it got easier because I kind of got a system of how I described things like I decided to avoid left and right since I didn't know which side of the box the other person was on and I would just describe which object the object pointed at was near or if it was in the middle and the one like it was on the edge I would just say ""in the middle."" I also decided I didn't need to say ""big"" or ""small"" if there was no other same shape same color (even though that was a little confusing since it was hard to see each picture as isolated from the other pictures). I expect that if there was a picture where all the balls or cubes were the same color I wouldn't feel the need to specify color but I'm really not sure about that that might have happened and I might have still used the color since there were other colors involved in the picture."
90,male,26-30,mathematics or engineering or computing,australian,noprobs,easier-yes,not-col-blind,under10,"It got easier as it became clear that the vocabulary required (""red"" ""big"" ""small"" ""near"" ""on top of"" ""touching"" etc) was the same throughout so I didn't need to think of fundamentally new ways to describe scenes just apply the right description to the current scene.  I started to want to vary my descriptions of essentially similar scenes though to avoid sounding repetitious to the hypothetical listener.Other comment: I kept wanting to type ""box"" rather than ""cube"" because ""box"" goes with ""ball"" (I suppose ""block"" might suit just as well being informal as well).  ""cube"" would match ""sphere""."
91,male,26-30,mathematics or engineering or computing,australian,noprobs,easier-no,not-col-blind,10-15, 
92,female,20-25,arts,australian,noprobs,easier-no,not-col-blind,under10, 
93,male,30-40,physical or natural sciences,other,noprobs,easier-no,not-col-blind,under10,I'm Canadian and hate describing blue balls
94,male,30-40,arts,british,noprobs,easier-no,not-col-blind,under10, 
95,female,30-40,mathematics or engineering or computing,american,noprobs,easier-no,not-col-blind,under10,In each case I wrote the first thing that came to mind. My responses are not terribly consistent.
96,male,20-25,mathematics or engineering or computing,australian,,easier-yes,not-col-blind,under10, Over time the decriptions became repetitive (as I suppose I decided on certain conventions)
97,female,20-25,physical or natural sciences,australian,noprobs,easier-yes,not-col-blind,10-15, it got easier because i realised i didn't need to use as many words as there was only one of those objects in the scene. i didn't need to use language to describe where in the scene that object was placed.
98,male,30-40,mathematics or engineering or computing,australian,noprobs,easier-yes,not-col-blind,under10,Easier to pick out distinguishing features of objects over time.
100,male,30-40,mathematics or engineering or computing,australian,noprobs,easier-yes,not-col-blind,under10,
102,male,26-30,physical or natural sciences,australian,,easier-yes,not-col-blind,under10, 
103,male,26-30,arts,australian,noprobs,easier-yes,not-col-blind,under10, The descriptions I gave became repetative.  I could re-use them time and time again.
104,female,26-30,mathematics or engineering or computing,british,noprobs,easier-no,not-col-blind,under10, 
105,female,26-30,mathematics or engineering or computing,australian,noprobs,easier-maybe,not-col-blind,under10,
106,male,30-40,mathematics or engineering or computing,australian,noprobs,easier-no,not-col-blind,under10,I don't like chocolate cake but I like chocolate
107,male,30-40,no college or university education,british,noprobs,easier-no,not-col-blind,under10, 
109,male,30-40,mathematics or engineering or computing,australian,noprobs,easier-no,not-col-blind,under10, 
110,female,20-25,mathematics or engineering or computing,australian,noprobs,easier-yes,not-col-blind,under10, Realised I could press the return key instead of clicking the button which made it faster.I kept on wanting to call the cube a box. I think I did this a few times.
111,female,26-30,mathematics or engineering or computing,australian,noprobs,easier-no,not-col-blind,10-15, 
113,female,26-30,physical or natural sciences,australian,noprobs,easier-no,not-col-blind,under10, 
114,female,26-30,arts,american,noprobs,easier-no,not-col-blind,under10," The directions didn't state whether we could/should use the words ""ball"" and ""cube"" - I wasn't sure whether we were supposed to avoid or use those names."
115,female,30-40,physical or natural sciences,australian,noprobs,easier-maybe,not-col-blind,under10,I found it interesting that I included the size of some object even when they were the only one of their class in the picture - this seemed to be more true for large objects than small ones. In many cases where there was only one of a specific class of small object I would just ask for it without reference to position or size. I wonder if large objects are 'more unusual' than smaller/average size ones that I felt the need to qualify them even though technically there was no need.Interesting!   :-)
117,male,26-30,languages,american,noprobs,easier-yes,not-col-blind,under10, I developed a system for identifying the objects.
118,female,over60,mathematics or engineering or computing,british,noprobs,easier-maybe,not-col-blind,under10, 
120,male,26-30,cognitive science,australian,noprobs,easier-yes,not-col-blind,10-15, became more brief with descriptions over time as the sufficient information needed to describe it seemed to become more clear
121,male,20-25,mathematics or engineering or computing,australian,noprobs,easier-yes,not-col-blind,under10,It got easier because I got into the groove of doing it. Sorry I can't be more specific.
122,male,26-30,mathematics or engineering or computing,australian,noprobs,easier-yes,not-col-blind,under10,The task got easier as I realised the scenes varied only slightly while the language I used did not (I used the minimal words to precisely express the condition but I am a programmer).
124,male,26-30,mathematics or engineering or computing,australian,noprobs,easier-no,not-col-blind,under10,"i chose the words ""large"" and ""small"" since i knew that across the entire experiment there were two standard sizes small ones and large ones. even in scenes where there were only one size ball or cube i still noted the ""size"" based on other possibilities."
125,male,30-40,mathematics or engineering or computing,australian,noprobs,easier-no,colour-blind,under10,The only thing I didn't know at the start of the test which affected my thinking part of the way through was whether the other observer is looking from the same point I am.  I was giving instructions in terms of 'left hand red ball' and if that was not the case they would not be choosing the same ball that was pointed out to me.
127,female,20-25,human or social sciences,american,noprobs,easier-no,not-col-blind,under10, 
128,male,30-40,mathematics or engineering or computing,australian,techprobs,easier-maybe,not-col-blind,10-15,Slow response around question 11 to the point where I reloaded and submitted again.
130,female,26-30,cognitive science,american,noprobs,easier-no,not-col-blind,under10, 
131,female,20-25,human or social sciences,australian,noprobs,easier-no,not-col-blind,under10,It was interesting to see how I naturally chose to label the object in question - appears that I take colour and shape to be fundamentals and I like to describe based on side eg. left/right when there are two exactly the same. Would love to hear your results! I'm a linguistics student but of the social strands - so not quite NLP but it's all interesting!
132,female,30-40,physical or natural sciences,british,techprobs,easier-no,not-col-blind,under10, Slight pass going from one scenario to the next (occurred once)
133,male,26-30,languages,american,noprobs,easier-yes,not-col-blind,under10, After having seen a few scenes it was easier to pick which characteristics to choose to specify the object.
135,male,20-25,languages,american,noprobs,easier-no,not-col-blind,under10, 
136,female,26-30,languages,american,noprobs,easier-yes,not-col-blind,under10, i got into a rhythm of what to say and it became a little easier to give the directions towards the end.
137,female,50-60,arts,american,noprobs,easier-yes,not-col-blind,under10, I found myself (a grammarian) just KNOWING that most Americans will not get the comparative correct.  I'd love to see the results of the study!
138,female,20-25,languages,american,noprobs,easier-maybe,not-col-blind,under10, 
139,female,20-25,arts,american,noprobs,easier-yes,not-col-blind,under10,I got more used to completing the sentence by deciding to identify color and shape before considerting placement. 
140,male,26-30,mathematics or engineering or computing,australian,noprobs,easier-yes,not-col-blind,under10,It became marginally easier just because I was repeating the same sorts of descriptions over and over again.
141,male,50-60,physical or natural sciences,british,,easier-no,not-col-blind,under10, 
142,female,26-30,languages,american,noprobs,easier-no,not-col-blind,under10," At the beginning I was saying ""cube"" but partway through the experiment I realized that it would be more likely I'd say block--I think I said cube at first because that's how it was described at the beginning.  It's more natural for me to say block."
143,female,26-30,human or social sciences,american,,,,under10, i think i put square when I should have put ball a few times. 
145,female,30-40,languages,american,noprobs,easier-yes,not-col-blind,under10, It got easier because I was able to reuse references (e.g. ball/box).
146,female,26-30,languages,american,techprobs,easier-yes,not-col-blind,10-15, Differentiate the color first and the size afterwards. Those help me to make the answers easier and quicker.
147,female,20-25,languages,american,noprobs,easier-no,not-col-blind,under10, 
148,female,26-30,languages,american,noprobs,easier-yes,not-col-blind,under10,The task got easier because I started using the same basic phrases over and over just with different combinations.
150,female,40-50,no college or university education,other,,easier-no,not-col-blind,under10, i thought about my instructions after i startedand wondered if they would work for a person who was colour blind. hence the differences in my instructions. 
151,female,26-30,physical or natural sciences,australian,noprobs,easier-no,not-col-blind,under10, 
152,female,20-25,arts,american,noprobs,easier-yes,not-col-blind,under10,"As the test progressed I found my descriptions became more efficient. If there was only one yellow ball I would just say ""yellow ball"" instead of describing its location with respect to the other objects. Sometimes I would describe more then realize there was a more efficient way then say that. Also I was unsure when there was some ambiguity (the small red ball on the right/left) - how could I describe its location with respect to other objects? I found that too complicated so I just said ""on the left/right"".A very interesting study!! Please let me know when you publish or if you want any follow up info/testing."
153,female,26-30,languages,american,,easier-yes,not-col-blind,under10, At some point it became easier to describe which object was meant because it was the only object of both its shape and color in the room so all you had to do was identify these two properties and nothing extra about their position related to other objects in the room. But this was not the case throughout the rest of the set.Fun little games to break up my long day!
154,female,20-25,mathematics or engineering or computing,australian,noprobs,easier-yes,not-col-blind,under10, It became easier over time as you developed a pattern of comparison of space colours and shape sizes. 
155,male,26-30,arts,american,noprobs,easier-maybe,not-col-blind,under10, 
156,female,50-60,human or social sciences,american,noprobs,easier-no,not-col-blind,under10," i looked to see whatever made the object unique. that way the instructions could be brief and specific. i hate when people give directions and include alot of extraneous information! (ha ha ""there's a Starbucks at that corner but don't turn there keep going. that Starbucks has been there for 5 years!"""
157,male,20-25,human or social sciences,american,noprobs,easier-no,not-col-blind,under10, 
158,female,10-15,physical or natural sciences,american,noprobs,easier-yes,not-col-blind,under10, 
159,female,30-40,mathematics or engineering or computing,australian,noprobs,easier-yes,not-col-blind,under10,"as the test progressed I tended towards ""standard"" combinations to describe the scenes based on my previous answers."
160,female,40-50,languages,american,noprobs,easier-no,not-col-blind,under10, 
161,female,30-40,mathematics or engineering or computing,australian,techprobs,easier-maybe,not-col-blind,no-time, test was very slow almost crashed my browser when pop up note wouldn't go away. very slow going from one page to the next. had to leave it for a few minutes more than once waiting for the next page to load. this is odd since we have at least adsl1 here and pages such as smh.com.au are fast to load. (the above question: I can't choose an answer - nothing drops down when I click on it)
162,female,26-30,physical or natural sciences,australian,noprobs,easier-yes,not-col-blind,under10, It got easier:1. deciding what to call the geometric shapes circle/sphere/ball and  cube/square/box needed to make the decision for the first then made and consistent.2. deciding how to locate the objects within the the space/left/right/next two/between - once decided which is clearest and most efficient can be consistent.2. determining if the shape (and colour) was one of its kind ie analysis the picture becames faster - hard to explain??
163,female,over60,arts,american,noprobs,easier-no,not-col-blind,under10, 
164,female,20-25,arts,australian,noprobs,easier-yes,not-col-blind,under10, the phrases i used were repetitive and so the descriptions were easier to make over time.
165,female,50-60,arts,american,noprobs,easier-no,not-col-blind,under10, 
166,female,20-25,languages,american,noprobs,easier-no,not-col-blind,under10,My friend Big Dave told me about this research. He is so awesome!I think this survey was to measure if the location or size mattered. I wonder what the results were. 
167,female,20-25,physical or natural sciences,american,noprobs,easier-no,not-col-blind,under10, Can you tell me what you aim to learn from this experiment?  I am just curious.
168,female,26-30,arts,american,noprobs,easier-no,not-col-blind,10-15, 
169,female,30-40,languages,australian,,easier-yes,not-col-blind,under10, one the terms were set it was easy
170,female,20-25,human or social sciences,american,noprobs,easier-yes,not-col-blind,under10,It got easier because you learn the vocabulary for describing the objects and the method to describe them.
171,female,26-30,arts,australian,noprobs,easier-yes,not-col-blind,under10,as i got used to repeating the exercise I found more efficient ways of decribing the object. however some scenes where the object was not unique continued to be challenging
172,male,40-50,mathematics or engineering or computing,australian,noprobs,easier-no,not-col-blind,under10, 
173,female,20-25,languages,american,noprobs,easier-yes,not-col-blind,under10, Once I got into the habit of using the same phrases over and over I proceeded more quickly through the slides.
175,female,26-30,human or social sciences,australian,noprobs,easier-yes,not-col-blind,10-15,It got easier because I just got quicker at it with practice
176,male,26-30,mathematics or engineering or computing,american,noprobs,easier-yes,not-col-blind,under10,I standardized my answers and could therefore provide them more quickly.  I also realized that I could use the TAB and ENTER keys to submit my answers rather than using the mouse which increased my submission speed.
177,female,30-40,languages,american,noprobs,easier-yes,not-col-blind,under10,Over time it got easier to assess more quickly the scenes: color number shape size etc.
178,female,30-40,languages,american,noprobs,easier-no,not-col-blind,under10, 
179,male,40-50,languages,american,techprobs,easier-no,colour-blind,under10," I had to hit ""done"" twice at one point (15 out of 32). The task did get easier for some frames because the thing became formulaic but then other frames had to be through through again. My color blindness is pretty minimal so I doubt that it affected anything given these simple colors."
180,female,30-40,languages,american,noprobs,easier-maybe,not-col-blind,under10, 
181,male,26-30,human or social sciences,american,noprobs,easier-yes,not-col-blind,under10,It seems that towards the end there were more pictures where I could specify the thing I wanted just by giving the color and shape.
182,female,30-40,languages,american,noprobs,easier-maybe,not-col-blind,under10, 
183,male,50-60,languages,american,noprobs,easier-no,not-col-blind,under10, 
184,female,20-25,languages,american,noprobs,easier-yes,not-col-blind,under10, Once I had a set of parameters (color size left/right top/bottom etc) by which I knew I could describe the object it because easier to choose what descriptors to use.
185,male,26-30,languages,american,noprobs,easier-no,colour-blind,under10, 
186,female,26-30,mathematics or engineering or computing,american,noprobs,easier-no,not-col-blind,under10, 
187,male,20-25,human or social sciences,american,noprobs,easier-maybe,not-col-blind,under10,"For linguistics study I assumed ""human science"" (or whatever it was) was the right one to choose.Also I kept wanting to use the word ""box"" for ""cube"".  Cube is more of a technical term whereas box is a more everyday term.  For me even if the function isn't to hold stuff (or whatever the function of a box is) anything cube-shaped can still be called a box."
188,male,30-40,mathematics or engineering or computing,american,noprobs,easier-yes,not-col-blind,under10,The task got easier because with the same basic set of objects the same phrases could be used again and again in referring to them.
189,male,26-30,languages,american,noprobs,easier-no,not-col-blind,under10, 
190,female,20-25,languages,american,noprobs,easier-no,not-col-blind,under10, 
191,female,20-25,languages,american,noprobs,easier-yes,not-col-blind,under10, 
192,male,26-30,languages,american,noprobs,easier-yes,not-col-blind,under10, it got slightly easier in that after the first couple scenes a conscious algorithm emerged for the disambiguation task: color & shape > size > location.  Interestingly I noticed that I tended to match the level of detail of the focused object when describing the reference object even if this was not strictly necessary for disambiguation.  curious.
193,female,40-50,mathematics or engineering or computing,american,noprobs,easier-no,not-col-blind,under10, 
194,female,20-25,mathematics or engineering or computing,american,noprobs,easier-no,not-col-blind,under10, 
196,male,30-40,languages,american,noprobs,easier-yes,not-col-blind,under10,I fairly quickly narrowed things down to looking for like objects of the same color and specifying at minimum color then relative size and finally position in field of view if necessary. Color still overspecified the object in several cases.
197,male,26-30,languages,american,noprobs,easier-maybe,not-col-blind,under10,
198,male,40-50,languages,american,noprobs,easier-no,not-col-blind,under10, 
199,female,30-40,languages,australian,noprobs,easier-yes,not-col-blind,under10, The task got easier because I was more set in the way I had started to describe the location of the items. 
200,female,50-60,languages,american,noprobs,easier-no,not-col-blind,under10, I noticed that I started taking size into more consideration in my descriptions the more I got into the experiment.
202,male,20-25,cognitive science,american,techprobs,easier-yes,not-col-blind,,"10-15"" The only technical difficulty was here at the end at this exit questionnaire; I accidentally hit enter before I had completed everything. I clicked """"back"""" so I could make sure you had a complete survey for your data; hopefully this note prevents duplicate data!"""
203,female,20-25,mathematics or engineering or computing,american,noprobs,easier-maybe,not-col-blind,under10, 
204,male,26-30,mathematics or engineering or computing,australian,noprobs,easier-no,not-col-blind,under10, 
205,male,20-25,physical or natural sciences,other,noprobs,easier-no,not-col-blind,under10,there was one instance where I didn't look at the scene for long enough so I referred to 'the ball' when there were actually two. I guess that would constitute a misinformed question rather than an unclear phrasing...
206,male,20-25,mathematics or engineering or computing,australian,noprobs,easier-no,not-col-blind,10-15, 
207,female,26-30,human or social sciences,australian,noprobs,easier-no,not-col-blind,under10, 
208,female,26-30,mathematics or engineering or computing,other,noprobs,easier-yes,not-col-blind,under10, It was easier as I went on because I started to use the same structure to describe where the object was in relation to others and then didn't have to think so much.
209,female,26-30,mathematics or engineering or computing,australian,noprobs,easier-no,not-col-blind,under10, 
210,female,20-25,physical or natural sciences,british,noprobs,easier-maybe,not-col-blind,under10, 
211,male,30-40,languages,american,noprobs,easier-no,not-col-blind,under10,"I was conscious of choosing the minimal set of descriptors. A few times ""big red ball"" jumped into my head but I just wrote ""big ball"" because there was only one big ball."
213,male,26-30,mathematics or engineering or computing,american,noprobs,easier-no,not-col-blind,16-20, 
214,female,50-60,mathematics or engineering or computing,american,noprobs,easier-yes,not-col-blind,under10," At first I was trying to give a complete description of the object.  Then I decided that I merely needed to give a description that could refer to only one thing in the picture.  So if there were four cubes and three balls but only one ball was yellow then ""the yellow ball"" was sufficiently descriptive.  (And if that wasn't the way I was supposed to be thinking about it you may want to drop my results.)"
215,female,26-30,mathematics or engineering or computing,australian,noprobs,easier-maybe,not-col-blind,21-30,It took longer than 15 minutes because our intenet is quite slow. It took a while to load each scenario. 
216,female,26-30,mathematics or engineering or computing,australian,noprobs,easier-no,not-col-blind,under10, 
217,female,26-30,physical or natural sciences,british,,easier-no,not-col-blind,under10, 
218,female,20-25,human or social sciences,american,noprobs,easier-maybe,not-col-blind,under10, 
219,male,20-25,no college or university education,australian,noprobs,easier-no,not-col-blind,under10,"By the end I lost the meaning of the words ""ball"" ""yellow"" ""green"" ""blue"" ""red"" and ""cube"".  Is cube even a real word?  I started to worry I was making it up. heheAlso when I got into the rhythm my initial instinct was to say ""small yellow ball"" when there was no large one.  Then when I took in the whole image I'd change it to just ""yellow ball"".  I'm not sure if that counts as the first thing that comes?"
220,male,50-60,physical or natural sciences,american,noprobs,easier-yes,colour-blind,under10, my color blindness was not a problem with this test; i think i could distinguish the colors just fine. after getting past my first and only internal debate   --  whether to call the round objects balls or spheres and whether to call the the squares objects cubes or boxes  --  there was not much thinking required.  I chose my terms somewhat arbitrarily -- opting for the the terms which are more commonly used in American vernacular. 
222,male,30-40,mathematics or engineering or computing,other,noprobs,easier-yes,not-col-blind,under10,Maybe slightly after developing a bit of a routine.I can't say how long I took because I did not look on the watch before beginning the experiment. You could probably programm a timing function somehow and measure the time yourself? Or ask people to check the time before the experiment.
223,male,40-50,human or social sciences,american,noprobs,easier-yes,not-col-blind,under10,I very quickly came up with a little system for identifying the object
225,male,26-30,human or social sciences,american,noprobs,easier-no,not-col-blind,under10, I doubt I would be so specific if I had an interlocutor - there would be even more underspecifications than in the experiment because s/he would ask for more information or make a false start if the information was not properly transmitted.
